Year,Month,monthly_anomaly,monthly_uncertainty,annual_anomaly,annual_uncertainty,five_year_anomaly,five_year_uncertainty,ten_year_anomaly,ten_year_uncertainty,twenty_year_anomaly,twenty_year_uncertainty
1753,4,-1.498,1.552,-0.684,0.886,NaN,NaN,NaN,NaN,NaN,NaN
1753,5,-0.512,1.463,-0.859,0.883,NaN,NaN,NaN,NaN,NaN,NaN
1753,6,-0.357,1.494,-0.971,0.886,NaN,NaN,NaN,NaN,NaN,NaN
1753,7,NaN,NaN,-0.898,0.892,NaN,NaN,NaN,NaN,NaN,NaN
1753,8,-0.841,1.421,-0.983,0.881,NaN,NaN,NaN,NaN,NaN,NaN
1753,9,-1.754,1.437,-1.121,0.874,NaN,NaN,NaN,NaN,NaN,NaN
1753,10,-1.186,1.485,-0.746,0.929,NaN,NaN,NaN,NaN,NaN,NaN
1753,11,-2.957,1.614,-0.653,0.970,NaN,NaN,NaN,NaN,NaN,NaN
1753,12,-2.373,2.503,-0.686,0.958,NaN,NaN,NaN,NaN,NaN,NaN
1754,1,0.288,1.994,-0.647,0.954,NaN,NaN,NaN,NaN,NaN,NaN
1754,2,-1.129,2.137,-0.643,0.961,NaN,NaN,NaN,NaN,NaN,NaN
1754,3,-0.964,1.826,-0.590,0.964,NaN,NaN,NaN,NaN,NaN,NaN
1754,4,NaN,NaN,-0.511,0.968,NaN,NaN,NaN,NaN,NaN,NaN
1754,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1754,6,-0.744,1.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1754,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1754,8,-0.789,1.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1754,9,-1.115,1.407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1754,10,-0.244,1.542,-0.647,0.960,NaN,NaN,NaN,NaN,NaN,NaN
1754,11,NaN,NaN,-0.748,0.910,NaN,NaN,NaN,NaN,NaN,NaN
1754,12,0.022,2.026,-0.760,0.921,NaN,NaN,NaN,NaN,NaN,NaN
1755,1,-0.449,1.974,-0.739,0.927,NaN,NaN,NaN,NaN,NaN,NaN
1755,2,-0.604,2.134,-0.801,0.960,NaN,NaN,NaN,NaN,NaN,NaN
1755,3,-2.513,1.941,-0.815,0.962,-0.596,0.569,NaN,NaN,NaN,NaN
1755,4,-0.855,1.732,NaN,NaN,-0.607,0.564,NaN,NaN,NaN,NaN
1755,5,-0.616,1.508,-0.805,0.977,-0.648,0.564,NaN,NaN,NaN,NaN
1755,6,-0.886,1.583,-0.939,0.959,-0.645,0.558,NaN,NaN,NaN,NaN
1755,7,NaN,NaN,-0.867,0.985,-0.682,0.555,NaN,NaN,NaN,NaN
1755,8,NaN,NaN,-0.669,0.974,-0.724,0.562,NaN,NaN,NaN,NaN
1755,9,-1.287,1.440,NaN,NaN,-0.769,0.565,NaN,NaN,NaN,NaN
1755,10,NaN,NaN,NaN,NaN,-0.777,0.568,NaN,NaN,NaN,NaN
1755,11,-2.946,1.966,NaN,NaN,-0.808,0.572,NaN,NaN,NaN,NaN
1755,12,-1.588,1.982,NaN,NaN,-0.828,0.572,NaN,NaN,NaN,NaN
1756,1,0.420,2.065,NaN,NaN,-0.859,0.568,NaN,NaN,NaN,NaN
1756,2,1.775,4.569,NaN,NaN,-0.900,0.571,NaN,NaN,NaN,NaN
1756,3,NaN,NaN,NaN,NaN,-0.904,0.567,NaN,NaN,NaN,NaN
1756,4,NaN,NaN,NaN,NaN,-0.946,0.567,NaN,NaN,NaN,NaN
1756,5,NaN,NaN,NaN,NaN,-0.944,0.567,NaN,NaN,NaN,NaN
1756,6,-0.433,2.337,NaN,NaN,-0.939,0.566,NaN,NaN,NaN,NaN
1756,7,NaN,NaN,NaN,NaN,-0.957,0.571,NaN,NaN,NaN,NaN
1756,8,-0.841,1.941,NaN,NaN,-0.922,0.572,NaN,NaN,NaN,NaN
1756,9,-0.228,1.523,-0.998,0.933,-0.926,0.573,NaN,NaN,NaN,NaN
1756,10,-1.785,5.508,-1.169,0.887,-1.009,0.568,NaN,NaN,NaN,NaN
1756,11,-3.502,1.626,-1.261,0.862,-1.042,0.563,NaN,NaN,NaN,NaN
1756,12,-2.265,2.039,-1.108,0.849,-1.046,0.557,NaN,NaN,NaN,NaN
1757,1,-2.241,2.137,-0.980,0.819,-1.100,0.554,NaN,NaN,NaN,NaN
1757,2,0.149,4.142,-0.726,0.870,-1.118,0.554,NaN,NaN,NaN,NaN
1757,3,-1.372,3.186,-0.587,0.892,-1.117,0.555,NaN,NaN,NaN,NaN
1757,4,-1.594,2.883,-0.666,0.901,-1.137,0.556,NaN,NaN,NaN,NaN
1757,5,-0.544,2.019,-0.653,0.894,-1.160,0.552,NaN,NaN,NaN,NaN
1757,6,1.402,2.749,-0.535,0.876,-1.231,0.556,NaN,NaN,NaN,NaN
1757,7,1.063,4.185,-0.584,1.287,-1.274,0.560,NaN,NaN,NaN,NaN
1757,8,NaN,NaN,-0.814,0.997,-1.262,0.562,NaN,NaN,NaN,NaN
1757,9,NaN,NaN,-0.866,0.939,-1.261,0.562,-1.037,0.526,NaN,NaN
1757,10,-2.730,5.405,-0.898,0.874,-1.269,0.564,-1.045,0.523,NaN,NaN
1757,11,-3.345,4.714,-1.051,0.901,-1.287,0.566,-1.054,0.525,NaN,NaN
1757,12,-0.851,3.148,-1.299,1.039,-1.307,0.562,-1.049,0.519,NaN,NaN
1758,1,-2.825,7.288,-1.557,1.350,-1.357,0.564,-1.080,0.515,NaN,NaN
1758,2,-2.619,2.965,-2.013,1.737,-1.347,0.563,-1.103,0.522,NaN,NaN
1758,3,-1.986,2.150,-2.298,1.993,-1.354,0.565,-1.136,0.520,NaN,NaN
1758,4,-1.981,1.433,-2.379,1.633,-1.423,0.565,-1.137,0.521,NaN,NaN
1758,5,-2.384,3.767,-2.340,0.892,-1.421,0.564,-1.148,0.522,NaN,NaN
1758,6,-1.570,2.125,-2.439,0.901,-1.426,0.582,-1.158,0.522,NaN,NaN
1758,7,-2.036,2.404,-2.269,0.926,-1.502,0.579,-1.141,0.520,NaN,NaN
1758,8,-3.265,3.790,-1.970,0.879,-1.551,0.589,-1.142,0.521,NaN,NaN
1758,9,-1.986,1.361,-1.908,0.879,-1.537,0.590,-1.134,0.516,NaN,NaN
1758,10,NaN,NaN,-1.905,0.894,-1.564,0.590,-1.151,0.510,NaN,NaN
1758,11,-2.881,1.828,-1.823,0.862,-1.539,0.595,-1.154,0.513,NaN,NaN
1758,12,-2.036,3.374,-1.772,0.832,-1.457,0.598,-1.140,0.521,NaN,NaN
1759,1,-0.787,2.709,-1.849,0.826,-1.358,0.593,-1.166,0.530,NaN,NaN
1759,2,0.967,2.725,-1.735,0.833,-1.331,0.598,-1.141,0.539,NaN,NaN
1759,3,-1.240,1.961,-1.659,0.853,-1.345,0.596,-1.143,0.539,NaN,NaN
1759,4,-1.946,2.389,-1.467,0.807,-1.374,0.603,-1.181,0.539,NaN,NaN
1759,5,-1.399,2.669,-1.455,1.312,-1.349,0.605,-1.198,0.539,NaN,NaN
1759,6,-0.957,2.593,-1.641,0.837,-1.394,0.600,-1.217,0.540,NaN,NaN
1759,7,-2.964,2.621,-1.825,0.812,-1.320,0.621,-1.233,0.543,NaN,NaN
1759,8,-1.893,2.875,-1.896,0.805,-1.340,0.637,-1.238,0.544,NaN,NaN
1759,9,-1.068,1.710,-1.997,0.801,-1.363,0.635,-1.245,0.542,NaN,NaN
1759,10,-1.400,4.426,-1.946,0.812,-1.345,0.632,-1.231,0.540,NaN,NaN
1759,11,-2.735,4.540,-1.972,0.829,-1.344,0.639,-1.226,0.544,NaN,NaN
1759,12,-4.268,3.165,-2.065,0.855,-1.376,0.654,-1.202,0.546,NaN,NaN
1760,1,-2.998,3.387,-2.025,0.908,-1.396,0.654,-1.208,0.547,NaN,NaN
1760,2,0.115,3.979,-1.946,0.972,-1.436,0.649,-1.198,0.547,NaN,NaN
1760,3,-2.452,3.827,-1.996,1.050,-1.479,0.647,-1.174,0.551,NaN,NaN
